domain,scenario,seed,round,condition,metric,d_local,d_trajectory,attribution_error,attribution_error_normalized,sign_disagreement,trajectory_history_distance,rank_disagreement
energy_market_v1,baseline_v1,1,2,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,top_score,clearing_price,-8.9208,-8.9208,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,top_score,consumer_cost,-15058.271999999997,-15058.271999999997,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,top_score,generator_profit_total,-1032.8420000000006,-1032.8420000000006,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,top_score,renewable_share,0.1582,0.1582,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,top_score,total_emissions,-203.30200000000002,-203.30200000000002,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,top_score,clearing_price,1.5,1.5,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,top_score,consumer_cost,-20154.066000000003,-20154.066000000003,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,top_score,generator_profit_total,-2674.4359999999997,-2674.4359999999997,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,top_score,renewable_share,0.37979999999999997,0.37979999999999997,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,top_score,total_emissions,-246.7793,-246.7793,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,5,top_score,clearing_price,-77.8353,-77.8353,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,5,top_score,consumer_cost,-35648.9458,-35648.9458,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,5,top_score,generator_profit_total,-17472.413399999998,-17472.413399999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,5,top_score,renewable_share,0.5033000000000001,0.5033000000000001,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,5,top_score,total_emissions,-198.9289,-198.9289,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,5,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,6,top_score,clearing_price,-74.9179,-74.9179,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,6,top_score,consumer_cost,-33785.9934,-33785.9934,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,6,top_score,generator_profit_total,-16333.0831,-16333.0831,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,6,top_score,renewable_share,0.5186999999999999,0.5186999999999999,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,6,top_score,total_emissions,-198.0094,-198.0094,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,6,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,1,random_valid,clearing_price,-4.8829000000000065,-4.8829000000000065,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,1,random_valid,consumer_cost,-4011.471700000002,-4011.471700000002,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,1,random_valid,generator_profit_total,-3511.7265000000007,-3511.7265000000007,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,1,random_valid,renewable_share,0.021100000000000008,0.021100000000000008,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,1,random_valid,total_emissions,-136.7525,-136.7525,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,1,random_valid,unserved_energy,109.2499,109.2499,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,2,random_valid,clearing_price,198.35789999999997,198.35789999999997,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,2,random_valid,consumer_cost,27333.1292,27333.1292,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,2,random_valid,generator_profit_total,41801.3894,41801.3894,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,2,random_valid,renewable_share,0.3302,0.3302,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,2,random_valid,total_emissions,-153.49470000000002,-153.49470000000002,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,2,random_valid,unserved_energy,247.4051,247.4051,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,3,random_valid,clearing_price,-16.355500000000006,-16.355500000000006,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,3,random_valid,consumer_cost,-10860.173900000002,-10860.173900000002,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,3,random_valid,generator_profit_total,-23165.0877,-23165.0877,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,3,random_valid,renewable_share,-0.4159,-0.4159,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,3,random_valid,total_emissions,-59.9504,-59.9504,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,3,random_valid,unserved_energy,233.336,233.336,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,4,random_valid,clearing_price,63.7131,63.7131,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,4,random_valid,consumer_cost,29901.387000000002,29901.387000000002,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,4,random_valid,generator_profit_total,15785.3551,15785.3551,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,4,random_valid,renewable_share,-0.12140000000000006,-0.12140000000000006,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,4,random_valid,total_emissions,61.785399999999996,61.785399999999996,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,4,random_valid,unserved_energy,140.564,140.564,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,5,random_valid,clearing_price,65.3562,65.3562,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,5,random_valid,consumer_cost,27336.8962,27336.8962,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,5,random_valid,generator_profit_total,24760.254500000003,24760.254500000003,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,5,random_valid,renewable_share,-0.06999999999999995,-0.06999999999999995,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,5,random_valid,total_emissions,32.6189,32.6189,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,5,random_valid,unserved_energy,195.1977,195.1977,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,6,random_valid,clearing_price,7.7316,7.7316,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,6,random_valid,consumer_cost,10838.877799999998,10838.877799999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,6,random_valid,generator_profit_total,-27516.3922,-27516.3922,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,6,random_valid,renewable_share,-0.7014,-0.7014,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,6,random_valid,total_emissions,196.5637,196.5637,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,6,random_valid,unserved_energy,189.0026,189.0026,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,1,top_score,clearing_price,-8.937700000000007,-8.937700000000007,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,1,top_score,consumer_cost,-15191.4068,-15191.4068,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,1,top_score,generator_profit_total,-873.0228000000006,-873.0228000000006,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,1,top_score,renewable_share,0.19169999999999998,0.19169999999999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,1,top_score,total_emissions,-194.3402,-194.3402,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,1,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,2,top_score,clearing_price,-60.9804,-60.9804,0.0,0.0,False,,False
energy_market_v1,baseline_v1,2,2,top_score,consumer_cost,-29665.969,-29665.969,0.0,0.0,False,,False
