run_id,domain,round,metric,applied,authoritative,divergence
sumo_transfer_v1-105,sumo_transfer_v1,1,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-105,sumo_transfer_v1,2,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-105,sumo_transfer_v1,3,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-105,sumo_transfer_v1,4,waiting_time,4.0,3.0,1.0
sumo_transfer_v1-105,sumo_transfer_v1,5,waiting_time,14.0,14.0,0.0
sumo_transfer_v1-105,sumo_transfer_v1,6,waiting_time,33.0,33.0,0.0
sumo_transfer_v1-105,sumo_transfer_v1,7,waiting_time,69.0,68.0,1.0
sumo_transfer_v1-105,sumo_transfer_v1,8,waiting_time,104.0,88.0,16.0
sumo_transfer_v1-105,sumo_transfer_v1,9,waiting_time,127.0,126.0,1.0
sumo_transfer_v1-105,sumo_transfer_v1,10,waiting_time,205.0,206.0,-1.0
