domain,scenario,condition,seed,wall_s,measured_s,residual_s,bundle_bytes,trace_bytes,content_hash,t_candidate_generation_s,t_observation_s,t_controller_s,t_validation_syntactic_s,t_validation_semantic_s,t_resolution_s,t_evidence_collection_s,t_hashing_s
energy_market_v1,baseline_v1,rule,1,0.02953605500078993,0.012687407015619101,0.016848647985170828,62895,34500,18ac10374298ee53,0.010621910012559965,8.632600656710565e-05,0.00015061699014040641,0.00030895999225322157,8.749300468480214e-05,0.0005638620023091789,4.2075007513631135e-05,0.0008261639995907899
energy_market_v1,baseline_v1,rule,2,0.030003504998603603,0.013093146018945845,0.016910358979657758,62857,34500,c74a1b3897522ea4,0.011072973004047526,8.586799231125042e-05,0.00015678800627938472,0.00027390100876800716,7.400200047413819e-05,0.000587696998991305,3.964001007261686e-05,0.0008022769980016164
energy_market_v1,baseline_v1,rule,3,0.03242503100045724,0.015040956990560517,0.01738407400989672,62880,34500,d94ef30238a2e365,0.01268239701676066,0.00010681198909878731,0.00022184600311447866,0.00035963299887953326,9.266099004889838e-05,0.0008976079989224672,5.310599590302445e-05,0.0006268939978326671
energy_market_v1,baseline_v1,rule,4,0.029944747999252286,0.01353700799154467,0.016407740007707616,62894,34500,cbd58dd6bf60c4e7,0.011499265994643793,0.00010440301048220135,0.0001719659958325792,0.0003213190029782709,9.530100578558631e-05,0.000595139994402416,4.7168989112833515e-05,0.0007024439983069897
energy_market_v1,baseline_v1,rule,5,0.033603043000766775,0.01445387200510595,0.019149170995660825,62883,34500,e45d1be1fd3166c7,0.012053335005475674,0.00015965901911840774,0.00017625200052862056,0.0003298179944977164,9.000799764180556e-05,0.0007489399940823205,5.2229996072128415e-05,0.0008436299976892769
energy_market_v1,baseline_v1,rule,6,0.036588290000509005,0.015073940001457231,0.021514349999051774,62886,34500,8395ab760c08873b,0.01252937500612461,0.00010961899533867836,0.00019453999266261235,0.0003397920008865185,9.217399565386586e-05,0.0008522479984094389,5.2518014854285866e-05,0.0009036739975272212
energy_market_v1,baseline_v1,rule,7,0.03197901499879663,0.015257205985108158,0.01672180901368847,62891,34500,23e9f49b8f5f9841,0.012779917986335931,0.00013510999997379258,0.00018970999735756777,0.00033372100006090477,9.146599768428132e-05,0.0011358560041117016,5.523100116988644e-05,0.0005361939984140918
energy_market_v1,baseline_v1,rule,8,0.03252438999697915,0.014297876008640742,0.01822651398833841,62895,34500,525e367f016845cf,0.012066862003848655,0.0001083839888451621,0.0001772050054569263,0.0003639940077846404,8.884000271791592e-05,0.000755887998820981,5.215900091570802e-05,0.000684544000250753
energy_market_v1,baseline_v1,rule,9,0.03211228199870675,0.014699103019665927,0.017413178979040822,62880,34500,4e04bcebb2052761,0.012578303001646418,0.00010197200390393846,0.00018178699974669144,0.00033542099481564946,8.721600534045137e-05,0.0008295090010506101,5.026401413488202e-05,0.0005346309990272857
energy_market_v1,baseline_v1,rule,10,0.031117048998567043,0.014450515005592024,0.01666653399297502,62905,34500,0bcd429e941aa90c,0.012248857001395663,9.912599853123538e-05,0.00017527301315567456,0.00032100899625220336,8.011899990378879e-05,0.0009402369978488423,4.8205998609773815e-05,0.0005376879998948425
