round,branch,metric,value
1,applied,waiting_time,0.0
1,authoritative,waiting_time,0.0
2,applied,waiting_time,0.0
2,authoritative,waiting_time,0.0
3,applied,waiting_time,0.0
3,authoritative,waiting_time,0.0
4,applied,waiting_time,3.0
4,authoritative,waiting_time,5.0
5,applied,waiting_time,13.0
5,authoritative,waiting_time,13.0
6,applied,waiting_time,37.0
6,authoritative,waiting_time,37.0
7,applied,waiting_time,75.0
7,authoritative,waiting_time,71.0
8,applied,waiting_time,130.0
8,authoritative,waiting_time,132.0
9,applied,waiting_time,177.0
9,authoritative,waiting_time,173.0
10,applied,waiting_time,225.0
10,authoritative,waiting_time,227.0
