round,branch,metric,value
1,applied,waiting_time,0.0
1,authoritative,waiting_time,0.0
2,applied,waiting_time,0.0
2,authoritative,waiting_time,0.0
3,applied,waiting_time,0.0
3,authoritative,waiting_time,0.0
4,applied,waiting_time,7.0
4,authoritative,waiting_time,7.0
5,applied,waiting_time,16.0
5,authoritative,waiting_time,15.0
6,applied,waiting_time,38.0
6,authoritative,waiting_time,36.0
7,applied,waiting_time,73.0
7,authoritative,waiting_time,71.0
8,applied,waiting_time,93.0
8,authoritative,waiting_time,91.0
9,applied,waiting_time,133.0
9,authoritative,waiting_time,128.0
10,applied,waiting_time,204.0
10,authoritative,waiting_time,204.0
