run_id,domain,round,metric,value
sumo_transfer_v1-110,sumo_transfer_v1,1,waiting_time,0.0
sumo_transfer_v1-110,sumo_transfer_v1,2,waiting_time,0.0
sumo_transfer_v1-110,sumo_transfer_v1,3,waiting_time,0.0
sumo_transfer_v1-110,sumo_transfer_v1,4,waiting_time,5.0
sumo_transfer_v1-110,sumo_transfer_v1,5,waiting_time,16.0
sumo_transfer_v1-110,sumo_transfer_v1,6,waiting_time,35.0
sumo_transfer_v1-110,sumo_transfer_v1,7,waiting_time,67.0
sumo_transfer_v1-110,sumo_transfer_v1,8,waiting_time,99.0
sumo_transfer_v1-110,sumo_transfer_v1,9,waiting_time,123.0
sumo_transfer_v1-110,sumo_transfer_v1,10,waiting_time,205.0
