run_id,domain,round,metric,applied,authoritative,divergence
sumo_transfer_v1-104,sumo_transfer_v1,1,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-104,sumo_transfer_v1,2,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-104,sumo_transfer_v1,3,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-104,sumo_transfer_v1,4,waiting_time,4.0,5.0,-1.0
sumo_transfer_v1-104,sumo_transfer_v1,5,waiting_time,19.0,19.0,0.0
sumo_transfer_v1-104,sumo_transfer_v1,6,waiting_time,39.0,40.0,-1.0
sumo_transfer_v1-104,sumo_transfer_v1,7,waiting_time,74.0,71.0,3.0
sumo_transfer_v1-104,sumo_transfer_v1,8,waiting_time,108.0,107.0,1.0
sumo_transfer_v1-104,sumo_transfer_v1,9,waiting_time,124.0,124.0,0.0
sumo_transfer_v1-104,sumo_transfer_v1,10,waiting_time,199.0,198.0,1.0
